artist_uri,artist_popularity,artist_followers
spotify:artist:00jHuXxRLEDtP4POz6teJc,0,486
spotify:artist:00jKIZctURq7B0vSpPpo13,28,274
spotify:artist:00k5zSa7jWCoEZ0e6tly9m,46,8792
spotify:artist:00kdoUy8DSeeIy1GEmb9S2,40,120
spotify:artist:00lKxTjBbv2FnmAVwEKstj,23,27773
spotify:artist:00me4Ke1LsvMxt5kydlMyU,73,5326024
spotify:artist:00msLVGU9crX0EC5McCiCa,60,96030
spotify:artist:00n4Vljc6N9pvJ26SKPphh,49,57306
spotify:artist:00n9Py05UKMS0LlvbJWxpg,7,16
spotify:artist:00nAbpbye40hKTJwwGRolM,40,27113
spotify:artist:00nr8rkfxyzlkyRkqH9xfR,23,2208
spotify:artist:00o5eWNk5MqreQLbngsikb,58,1090
spotify:artist:00oL7zWxmWveTsKF7DnIRd,56,105716
spotify:artist:00oWcaID7J6ns2KY5jsMG2,0,1751
spotify:artist:00q2vdqp7FcsPfMj23Yf4g,22,2169
spotify:artist:00q3HI6mnGUJqMlfwBJTco,34,13186
spotify:artist:00qEejZyY0fO6WFTRtuCVO,19,1280
spotify:artist:00rBtBEh5YTeL8zTIuxoRH,0,146
spotify:artist:00rUMQMxPbr7jT7EBcs7sl,45,73479
spotify:artist:00sAT5YX8W3xNd1EuqyHw9,54,426721
spotify:artist:00sAr10UTV1JZtHqxsLVn4,38,111713
spotify:artist:00sCATpEvwH48ays7PlQFU,72,865408
spotify:artist:00sR4i1EQSQrNjSVJkeqYl,31,21052
spotify:artist:00sazWvoTLOqg5MFwC68Um,65,975533
spotify:artist:00stYctfnJSBpUmAKAbUVB,4,895
spotify:artist:00tLpoaqNjNGiETHoFE6rW,20,1231
spotify:artist:00tVTdpEhQQw1bqdu8RCx2,64,1395426
spotify:artist:00tbcOvq709RE1UCBr7uEs,36,47
spotify:artist:00tpumDBeWilDpuMfqA82e,33,62
spotify:artist:00tudvbg9bVXJu4oTBus6w,25,6297
spotify:artist:00uHQwsBLcSFJpfAxEu7IF,20,7523
spotify:artist:00vveIw5HbMnwITMJscdKu,18,350
spotify:artist:00vzngAvsjYTuwAaEku48m,8,324
spotify:artist:00w9sdZ78mWArooTmiSTld,59,317905
spotify:artist:00wclaNli3JTTLho4LPjBF,50,439
spotify:artist:00x1fYSGhdqScXBRpSj3DW,62,145916
spotify:artist:00xU4wfephkJrjwJPDvfkf,48,788657
spotify:artist:00yDWlggrS34V03oLFjMbl,24,732
spotify:artist:00yanzbt9utpkNGZOQ3rve,17,3776
spotify:artist:00yr7cQxdY362uBn5fYDlz,11,885
spotify:artist:00yyXhoWpsxPqwxnRuIIbg,14,2027
spotify:artist:00zOnfp2XbezHQUNAYH7ON,46,32554
spotify:artist:00zeZxu1UPkn8DKqNxgnyw,37,2505
spotify:artist:00zoOzjXViIF4Fs8XQSK9m,43,387
spotify:artist:01056gItT5lFJEvQnFOByX,47,27662
spotify:artist:011bJBtG8SdkBqBiSpBllF,60,117422
spotify:artist:012Rgyg65v8jCrzvE5RMYy,21,1425
spotify:artist:012ldd58H1N5UZLxjMzV29,32,35397
spotify:artist:012xNfNlm7MiRwB2DuLaAu,43,1020
spotify:artist:0131kMXymfUxxk7txQyEzo,38,5335
spotify:artist:013IM1cmrXQbjmtmhb3vCm,15,87
spotify:artist:013K29KvTPHmUMdSBgmlYG,7,154
spotify:artist:013zmpwJVA8E15pb1hM68O,53,16625
spotify:artist:0142LFmMLrdw3PWx8yCo3X,37,13786
spotify:artist:014WIDx7H4BRCHB1faiisK,75,2270680
spotify:artist:014fO15EMC2Qs2EAj5Utwz,2,120
spotify:artist:014v7wyYEzOsxoWbiqXFOA,20,17505
spotify:artist:0152lAerTxFtfqXBnJi8TY,50,27653
spotify:artist:016IAhAzE9pcX4UbMYg4Ao,27,1318
spotify:artist:016Rz5DsXUPPxosNTZLYcv,54,9822
spotify:artist:017N2VIptuU1ZIehQyCzWM,25,1527
spotify:artist:017ViJJeeul1vKk90lhwqJ,26,4330
spotify:artist:017eqDZ4BqpQBzNvrs9TJJ,11,606
spotify:artist:017jNdKcAlkBIggZ5Udxja,1,19
spotify:artist:018BUJJUnWqRhfg2hpCtJb,6,1567
spotify:artist:018o9a7ArNnvYzhw2gMEUY,24,304
spotify:artist:0197pmztGFKQv25xxYvsdC,38,41342
spotify:artist:019NZPass0hE4KID4yxfrk,21,1447
spotify:artist:019iJ3BZtBNRA4y3ZmbGS1,35,601
spotify:artist:019yqkMfjVTUKmwU1MY3wV,11,1790
spotify:artist:01ACNPPnzgrwcqlbX6eo3x,0,8253
spotify:artist:01AYLLkeDkVnrPGc5s6DyQ,39,1187
spotify:artist:01AnOmJCFPom13jKelxk8D,33,8692
spotify:artist:01AynfThIqLCNevTuPSoYk,30,7009
spotify:artist:01BNEFdzawMyAXoHVdtyPx,40,5646
spotify:artist:01BarUU13qIXPB0YlpVJgb,42,1561
spotify:artist:01C18y2QWahmooYkwKs0UP,51,982
spotify:artist:01C9OoXDvCKkGcf735Tcfo,57,506382
spotify:artist:01CC0QaWv9hM4Eroe6ZKHw,38,45685
spotify:artist:01CFmzv28eTtJAjhrvOsiW,56,17497
spotify:artist:01COhV6E3zLbPa5IJ27XkL,25,754
spotify:artist:01D5XnAKpuAbd9PrYSRCuR,30,18276
spotify:artist:01DQQFGEOzbFugH5FcVAgI,40,66955
spotify:artist:01DTVE3KmoPogPZaOvMqO8,53,417851
spotify:artist:01E7DBTYoklq6FeDxgRk36,45,146
spotify:artist:01EMXNlrJ0Bjrwy63Bd2zX,17,601
spotify:artist:01EOjkQNRuJKZos5qstw2L,15,743
spotify:artist:01ESv8p0AeNsSyjAtLL2eZ,1,46
spotify:artist:01Enhg7P7vObcpQjxL2Lrj,22,20
spotify:artist:01Er12nK5rrnHx8usFPJAs,56,44015
spotify:artist:01FYiCuKBtWJGeCox6NuR1,15,8605
spotify:artist:01FtA9GKCdkhtXHZrxi1v7,33,20586
spotify:artist:01GKiTphQwz4guZQntMha8,41,14095
spotify:artist:01Gj5Tpdz9igIh1uqH8bvu,53,97186
spotify:artist:01GwQuZRU4oG83fF2ZOyQs,31,13408
spotify:artist:01H1M5VvnktKBqpU0TX8Rl,49,7773
spotify:artist:01HH0MeCU5B1FXwt2EyZlh,28,9303
spotify:artist:01Hj5EQGynnrJncV7vhAyA,7,3205
spotify:artist:01I6ezNDaCHc11pIWJHazU,6,61
spotify:artist:01ImO2sBddUcSVJizuX4xG,24,144
spotify:artist:01Ix2zdjR4PQ2eYMpclD9d,37,10284
spotify:artist:01JN808vH1vhH7O7IsyRgX,43,119072
spotify:artist:01JNOo6z0UWQWqwftahrYz,13,2845
spotify:artist:01JZtu3hMY7lmY36RCqzIl,43,19794
spotify:artist:01Jsi7Q2a1GdLvNShahaj1,32,26333
spotify:artist:01K8GEMGGxtrQ4xjDmNLPs,44,74008
spotify:artist:01KVmwcIGqyGZShP2XAadD,22,3214
spotify:artist:01KbOLu1grnNMwxJKoRkbk,22,6079
spotify:artist:01KhCk3LxZ60TnXjqdY5VI,26,237
spotify:artist:01Kz5ab1oYMaey58CaGTxA,45,75194
spotify:artist:01L6jvexr6BpNIfs0wHGkn,40,9168
spotify:artist:01LC9IJinrWDawozbyCj6r,8,91
spotify:artist:01LMQqIUwK08rW4L9pevlH,7,3601
spotify:artist:01LOZBitoVFoGhrKQ8oBwD,35,4220
spotify:artist:01LfDhfF9mkpmEwRalZCmO,40,43097
spotify:artist:01M9LokQdmZvlAuwBLsYYH,31,1590
spotify:artist:01MeWokAQCddIJbpHtyoCM,18,548
spotify:artist:01Mll8wovVOj5XaWVanxkB,49,313
spotify:artist:01N1aZStXA4yGvkz4vRXtJ,52,95006
spotify:artist:01NXB5dRKo7u1GcRovVyB2,33,35
spotify:artist:01NnKtQTQrRMoIdxishusF,13,129
spotify:artist:01O1K2of8wkNZJhWRlRFcT,37,22868
spotify:artist:01O6JMBezb5PN1Y1P5RTM6,18,241
spotify:artist:01O7UQ4lwjxnSn2GHCF3I5,10,1673
spotify:artist:01OXxPlQj4h9zfK5qjU96P,57,9348
spotify:artist:01P4qfgl0o4UGIWkAzuOL4,7,611
spotify:artist:01PAM2LxCLL6tflnv7mbV7,46,2352
spotify:artist:01PBXLThJADrhufsPS5tER,44,164556
spotify:artist:01Pau1jld4ufFB8QbYsc1O,10,1329
spotify:artist:01PkggcasHgNtRfgRw51Kk,28,7564
spotify:artist:01PnN11ovfen6xUOHfNpn3,52,70851
spotify:artist:01Po2SHfxxfs1If9N4eubt,42,1126
spotify:artist:01Ppu7N8uYJI8SAONo2YZA,53,423534
spotify:artist:01PyusFVbXgoD5Kl1mR8CC,56,708581
spotify:artist:01QTIT5P1pFP3QnnFSdsJf,67,1843910
spotify:artist:01QlxJDgcC2BQyqdmFuSUf,25,8159
spotify:artist:01RabCJ6GZLjUAVCAXjyJv,10,567
spotify:artist:01Rh6oei872W6mW6Zz0ueQ,44,32881
spotify:artist:01RocYhqTJzt3gzdpVM2MJ,31,6282
spotify:artist:01TBTp2OFsGezcuFYPqioM,8,107
spotify:artist:01TQ6CLvPSOYGUqRQ3nWgZ,43,40612
spotify:artist:01TVs3rYzqdPpDhxBVuxzc,0,81
spotify:artist:01TbmnDD4d5XDUl5Kr3iQB,30,3751
spotify:artist:01Tc4gabRGPBZowYLu1x0J,6,1003
spotify:artist:01Th1Hyl7NbeWWEQeg2Ldx,4,1425
spotify:artist:01Ti9tP1kNrsjr5qE1sNIS,25,812
spotify:artist:01TxUc4gaIBQGYZ6LsTsFp,36,82
spotify:artist:01UzgUtDa2NqWuvUjrrl3p,42,73911
spotify:artist:01VsXNrszWERedrdHgRVH2,49,15070
spotify:artist:01W8kYNqFHyKicPfR0pLwO,59,257289
spotify:artist:01WPcZ0muv3SMtHr5bfB8a,9,258
spotify:artist:01Wck2m10xhdxUrLaMq60y,45,192141
spotify:artist:01WjpKiWVNurV5hjIadB8C,56,481192
spotify:artist:01WoZUcAnE5mt6zU2pT4QV,19,1203
spotify:artist:01XYiBYaoMJcNhPokrg0l0,69,1253615
spotify:artist:01XgbvLicKQELx7NqHgi5G,44,34637
spotify:artist:01Xlm1T6bYYXlGKc6erhcg,30,14059
spotify:artist:01Xw7vl2SyG3jGuat0QKp9,22,1850
spotify:artist:01Z8Z9K54zewyP04ZfGLSv,52,91981
spotify:artist:01ZpfNTUsz8qKnnobquC1q,34,102
spotify:artist:01ZtptlLUxoAbJDrS9fTqX,45,78411
spotify:artist:01Zxbhs9NSmvNj2nZWdI5x,6,657
spotify:artist:01aC2ikO4Xgb2LUpf9JfKp,58,861289
spotify:artist:01aZZuL1P2SA4USRJhVflW,10,280
spotify:artist:01amjyTlohCQrBLbM1scoO,43,21434
spotify:artist:01ayc3cHq5YqK1At0rnx3e,18,903
spotify:artist:01b2tEED4CxbDNRwmetKFO,5,160
spotify:artist:01b6GstHjcAjm0Z5tSB5Ju,13,31699
spotify:artist:01b6szRrEne55vkR4tVPHP,46,92921
spotify:artist:01bd3HvH4Dd21SYZBrBwTx,21,410
spotify:artist:01bfsddtGYcZOQLOB4ZVlU,35,569
spotify:artist:01bivqj7bIF9YcjSX7MPa5,0,28
spotify:artist:01brs471Oes6kMnkVJBfGG,61,601764
spotify:artist:01buTDfh4qo8wbcUt9Enly,30,8657
spotify:artist:01cEuhFw0k8zSnCFKBGtCg,0,72
spotify:artist:01cSS9Li4G0S7dH0h7Khfu,30,10401
spotify:artist:01crEa9G3pNpXZ5m7wuHOk,57,808405
spotify:artist:01cy54KoiBt6XAOJNtDIgT,6,242
spotify:artist:01dP5AXWzqsUZj4VIcUSDM,58,3466
spotify:artist:01djLeQ0nZvRhEPjn5Wdw0,46,37234
spotify:artist:01e2lCvLZ4fLUIRy68nptH,58,108276
spotify:artist:01epL9hgF4G7guGkrnzR8a,51,10773
spotify:artist:01ffuioVAw8urnBMv5aCFD,0,223
spotify:artist:01hIvJyNuMwgbUMDj8oFBP,6,27
spotify:artist:01hRNr3yF5bYnPq4wZ88iI,56,296200
spotify:artist:01hg7l1HFSP3y7oSWg05mB,11,469
spotify:artist:01hxczOKxBEeXGsdqhfp9o,22,314
spotify:artist:01i20ypYqHM10c2JfvgKwW,15,29
spotify:artist:01iBYoUzhKZLQAGRDF0L9U,42,2788
spotify:artist:01ivNicPeISSLmDXpWakJK,16,16
spotify:artist:01jHp64ggVZmrGYJbJ5jrB,22,1912
spotify:artist:01jJOHKRO5qQgwHrQB8qAX,13,1472
spotify:artist:01jPgSPIsFQgE0QnYeT3cm,44,9424
spotify:artist:01kKwMSA10JavvAaD0Jj5u,30,777
spotify:artist:01lJN3D0WW1Gm1Et8gRIiX,1,140
spotify:artist:01lK8t2cYqYfRherW82aHm,22,1432
spotify:artist:01lZudgXsojt5TBHuygB8r,54,635558
spotify:artist:01lbqGTSuT9Jr3gMwiF3Xw,40,50151
spotify:artist:01lysLifxXLWUGSGYm1VER,18,10569
spotify:artist:01lz5VBfkMFDteSA9pKJuP,50,225967
spotify:artist:01lzF0kz4osCQXfUDFmOnC,30,68
spotify:artist:01m2XZ7m7rAz6KY3scTdaV,64,1097599
spotify:artist:01m6iqjHa6cVnRffi6YMhL,1,10
spotify:artist:01mQ0mPBGUWNQ00YqBepXh,25,6236
spotify:artist:01mXk9IDlVczWwZvVHAiIS,38,79120
spotify:artist:01miyktDTBV94wVV4UKcp0,5,63
spotify:artist:01mvWXVNW6Gz5Oxf6bQrtM,39,12586
spotify:artist:01myJOKWFORKHtMxNWPib5,31,28
spotify:artist:01n1Lj2lmdteXD8qFPqhsL,24,4644
spotify:artist:01nToDFj9swyFm6Pm3H2EL,35,11392
spotify:artist:01nUdqwuIHCHLZNP2TvYVF,60,38030
spotify:artist:01nVIuD8YZsnFH6x6Cc9rX,47,89002
spotify:artist:01o77igJ4oxA6MnykrzHNN,40,59
spotify:artist:01o8KYRik9Eb3RbAm4T2hh,26,15393
spotify:artist:01oY6wumU3INVxo8ddX7mj,51,29660
spotify:artist:01oeaKF2UI2pmIHljhewRN,53,41357
spotify:artist:01olvHW7uzIInQx9VTNuJm,49,53118
spotify:artist:01p7Homi0d4XxZ06f2NYYD,58,224837
spotify:artist:01pFDtbY3k5uOmy0Pbg93C,61,66850
